"","CLIENT.CODE","DISTRICT","CLIENT.TYPE","YEAR","MONTH","MARGIN"
"8298",101,"VOI","SUPERMAKETS",20,2,98.49
"8299",4954,"MANYANGA-MAUA","SUPERMAKETS",20,2,492
"8300",6040,"NAIROBI","MINI SUPERMAKETS",20,2,677.6864
"8301",6040,"NAIROBI","MINI SUPERMAKETS",20,2,254.702
"8302",6040,"NAIROBI","MINI SUPERMAKETS",20,2,156
"8303",6072,"MANYANGA","MINI SHOPS",20,2,6407.753
"8304",9778,"NAIROBI","MINI SUPERMAKETS",20,2,1697.534
"8305",2024,"VOI","SUPERMAKETS",20,2,1226.65
"8306",2024,"VOI","SUPERMAKETS",20,2,1076.8473
"8307",2024,"VOI","SUPERMAKETS",20,2,1600.8399
"8308",2024,"VOI","SUPERMAKETS",20,2,1328.6163
"8309",2024,"VOI","SUPERMAKETS",20,2,125.9501
"8310",4650,"ISIOLO","SHOPS",20,2,1969.8
"8311",4759,"MANYANGA","SUPERMAKETS",20,2,1794.7455
"8312",7335,"VOI","MINI SUPERMAKETS",20,2,72.3
"8313",7335,"VOI","MINI SUPERMAKETS",20,2,677.6864
"8314",3699,"NAIROBI","SHOPS",20,2,254.702
"8315",5040,"MANYANGA-MAUA","SUPERMAKETS",20,2,508.0692
"8316",5040,"MANYANGA-MAUA","SUPERMAKETS",20,2,288.0328
"8317",7142,"KASARANI","SHOPS",20,2,1222.5696
"8318",8161,"MANYANGA-MAUA","SHOPS",20,2,254.0346
"8319",8163,"KILIMANJARO","MINI SUPERMAKETS",20,2,254.0346
"8320",8163,"KILIMANJARO","MINI SUPERMAKETS",20,2,677.6864
"8321",8779,"MANYANGA","WHOLE SALE",20,2,78.15
"8322",3045,"KILIMANJARO","MINI SHOPS",20,2,504.1148
"8323",3888,"MANYANGA","SHOPS",20,2,911.94
"8324",3888,"MANYANGA","SHOPS",20,2,566.76
"8325",5145,"MANYANGA","MINI SUPERMAKETS",20,2,1198.0311
"8326",6041,"NAIROBI","SUPERMAKETS",20,2,1524.2076
"8327",5882,"KILIMANJARO","MINI SUPERMAKETS",20,2,305.3345
"8328",5882,"KILIMANJARO","MINI SUPERMAKETS",20,2,431.0592
"8329",5882,"KILIMANJARO","MINI SUPERMAKETS",20,2,195.6755
"8330",5882,"KILIMANJARO","MINI SUPERMAKETS",20,2,446.2359
"8331",3699,"NAIROBI","SHOPS",20,2,18.769
"8332",3699,"NAIROBI","SHOPS",20,2,213.1665
"8333",2024,"VOI","SUPERMAKETS",20,2,35.9158
"8334",2024,"VOI","SUPERMAKETS",20,2,311.9664
"8335",8779,"MANYANGA","WHOLE SALE",20,2,354.011
"8336",4954,"MANYANGA-MAUA","SUPERMAKETS",20,2,351.2144
"8337",6040,"NAIROBI","MINI SUPERMAKETS",20,2,8.6172
"8338",6040,"NAIROBI","MINI SUPERMAKETS",20,2,175.6072
"8339",6040,"NAIROBI","MINI SUPERMAKETS",20,2,431.0592
"8340",6040,"NAIROBI","MINI SUPERMAKETS",20,2,195.6755
"8341",6040,"NAIROBI","MINI SUPERMAKETS",20,2,446.2359
"8342",9778,"NAIROBI","MINI SUPERMAKETS",20,2,431.0592
"8343",9778,"NAIROBI","MINI SUPERMAKETS",20,2,446.2359
"8344",4954,"MANYANGA-MAUA","SUPERMAKETS",20,2,305.3345
"8345",4954,"MANYANGA-MAUA","SUPERMAKETS",20,2,195.6755
"8346",5145,"MANYANGA","MINI SUPERMAKETS",20,2,511.5996
"8347",6072,"MANYANGA","MINI SHOPS",20,2,14.362
"8348",6072,"MANYANGA","MINI SHOPS",20,2,305.9952
"8349",6072,"MANYANGA","MINI SHOPS",20,2,219.705
"8350",6072,"MANYANGA","MINI SHOPS",20,2,420.7326
